,Unnamed: 0,FIPS,State,County,Year,n_crops,area_km2,Month,corn_bu_production_t,corn_tons_production_t,cotton_production_t,oats_production_t,peanuts_production_t,rice_production_t,soybeans_production_t,wheat_production_t
14,21,US28083,MISSISSIPPI,LEFLORE,2019,4,1554.8533931869574,10,299835.7993667843,,22251.453765274742,,,12065.571390988018,145385.59933231125,
15,22,US26155,MICHIGAN,SHIAWASSEE,2023,4,1400.343444842344,10,204708.29439994195,,,801.226515227114,,,100507.11687274904,46810.788253758015
16,23,US37041,NORTH CAROLINA,CHOWAN,2021,5,457.4330665374321,5,22581.669403343887,,5878.56410628589,,10201.304533207536,,18588.23742867252,3891.827162957789
17,26,US26107,MICHIGAN,MECOSTA,2019,4,1480.0131204828544,9,67059.17573096497,,,631.4013299344105,,,5715.2706588890605,4300.060781449864
18,27,US13131,GEORGIA,GRADY,2020,4,1194.3670503403414,8,40260.90664150738,,8447.714345329354,,24884.1070116392,,1899.6471047164591,
19,29,US05111,ARKANSAS,POINSETT,2019,4,1976.6125236062207,6,150121.10930681933,,14021.464016474494,,,331893.9318340576,218513.84819152503,
20,30,US28119,MISSISSIPPI,QUITMAN,2019,4,1051.7949997743856,5,31497.49163121082,,18615.453003238654,,,35108.09119031852,96343.13396412988,
21,32,US37117,NORTH CAROLINA,MARTIN,2023,5,1240.831913954528,5,21387.81286570928,,10908.002286108263,,17708.267184367374,,22752.22033729169,12573.595449555933
22,34,US13131,GEORGIA,GRADY,2020,4,1194.3670503403414,4,40260.90664150738,,8447.714345329354,,24884.1070116392,,1899.6471047164591,
23,37,US13243,GEORGIA,RANDOLPH,2022,4,1114.1608799696392,8,55730.23922490043,,6139.833622120819,,16497.174116174217,,7565.92972938647,
24,38,US26155,MICHIGAN,SHIAWASSEE,2023,4,1400.343444842344,9,204708.29439994195,,,801.226515227114,,,100507.11687274904,46810.788253758015
25,39,US27055,MINNESOTA,HOUSTON,2021,4,1480.653884648656,4,273393.14711832424,164200.6332157016,,1857.91655704838,,,48280.42928032949,
26,40,US19177,IOWA,VAN BUREN,2021,4,1249.5191032922746,8,194420.8072139416,23314.67554499188,,91.44433054222496,,,77591.60308806052,
27,43,US05067,ARKANSAS,JACKSON,2022,5,1707.7321013025148,6,69878.70925601691,,2961.054512795856,,,259455.144197186,111066.75980441074,12764.104471518902
28,44,US13163,GEORGIA,JEFFERSON,2023,4,1366.602072879094,8,76203.60878518748,,5769.701808021337,,18665.34822327657,,4082.336184920757,
29,48,US27037,MINNESOTA,DAKOTA,2023,4,1566.226685717247,6,386022.08090283134,23496.112708766137,,,,,60500.222260525625,1096.787655015377
30,49,US29023,MISSOURI,BUTLER,2021,4,1802.641188448812,4,146387.13247634514,,,,,218178.1894385427,170478.35908229082,5307.037040396985
31,50,US37079,NORTH CAROLINA,GREENE,2020,5,686.1747057306366,5,39575.074162440695,,2220.790884596892,,6531.737895873212,,28658.00001814372,9906.469142074371
